Level,Hierarchical structure,Code,Class title,Class definition
4,Detail,2721131,"Phosphoric acid, and phosphatic fertilizer materials","Phosphoric acid, and phosphatic fertilizer materials."
3,Subclass,272114,Mixed fertilizers,This subclass comprises mixed fertilizers.
4,Detail,2721141,"Agricultural, commercial, and institutional mixed fertilizers","Agricultural, commercial, and institutional mixed fertilizers."
4,Detail,2721142,"Mixed fertilizers, packaged for retail sale","Mixed fertilizers, packaged for retail sale."
2,Class,27212,Pesticides and other agricultural chemicals,This class comprises pesticides and other agricultural chemicals.
3,Subclass,272121,Pesticides and other agricultural chemicals,This subclass comprises pesticides and other agricultural chemicals.
4,Detail,2721211,"Agricultural, commercial and institutional pesticides and chemicals","Agricultural, commercial and institutional pesticides, herbicides, fungicides and other biocide chemicals."
4,Detail,2721212,"Pesticides and chemicals, packaged for retail sale","Pesticides, herbicides, fungicides and other biocide chemicals, packaged for retail sale."
2,Class,27213,"Chemical products, n.e.c.","This class comprises chemical products, n.e.c."
3,Subclass,272131,"Automotive fluids, cleaners, polishes and additives","This subclass comprises automotive fluids, cleaners, polishes and additives."
4,Detail,2721311,"Automotive fluids, cleaners, polishes and additives","Automotive fluids, cleaners, polishes and additives."
3,Subclass,272132,"Printing, writing and stamping inks","This subclass comprises printing, writing and stamping inks."
4,Detail,2721321,Ink jet cartridges and refill kits,Ink jet cartridges and refill kits.
4,Detail,2721322,Other printing inks,Other printing inks.
4,Detail,2721323,Writing inks and stamp-pad inks,Writing inks and stamp-pad inks.
3,Subclass,272133,"Explosives, propellants and blasting accessories","This subclass comprises explosives, propellants and blasting accessories."
4,Detail,2721331,"Explosives, propellants and blasting accessories","Explosives, propellants and blasting accessories."
3,Subclass,272134,Water treatment compounds,This subclass comprises water treatment compounds and chemicals.
4,Detail,2721341,Water treatment compounds,Water treatment compounds and chemicals.
3,Subclass,272135,"Toner, photographic chemicals and photographic film","This subclass comprises toner, photographic chemicals and photographic film."
4,Detail,2721351,Toner cartridges and cartridge refill kits,Toner cartridges and cartridge refill kits.
4,Detail,2721352,"Bulk toner, photographic chemicals, and sensitized film, plates, paper and cloth","Bulk toner, photographic chemicals, and sensitized film, plates, paper and cloth."
3,Subclass,272136,Other chemical products,This subclass comprises other chemical products.
4,Detail,2721361,Metal-treating and -plating compounds,Metal-treating and -plating compounds.
4,Detail,2721362,Concrete curing materials and drilling mud preparations,Concrete curing materials and drilling mud (fluid) preparations.
4,Detail,2721363,Animal and vegetable waxes and essential oils,Animal and vegetable waxes and essential oils.
4,Detail,2721364,Plasticizers and rubber-processing chemicals,Plasticizers and rubber-processing chemicals.
4,Detail,2721365,Matches,Matches.
4,Detail,2721366,E-liquids with nicotine,"Liquid used in electronic cigarettes consisting mostly of mix of propylene glycol, vegetable glycerin, nicotine and flavour."
4,Detail,2721367,E-liquids without nicotine,"Liquid used in electronic cigarettes consisting mostly of mix of propylene glycol, vegetable glycerin, and flavour."
4,Detail,2721368,"Other chemical products, n.e.c.","Other chemical products, n.e.c."
1,Group,273,Pharmaceutical and medicinal products,This group comprises pharmaceutical and medicinal products.
2,Class,27311,Pharmaceutical and medicinal products,This class comprises pharmaceutical and medicinal products.
3,Subclass,273111,"Medicinal chemicals and vitamins, in bulk","This subclass comprises medicinal chemicals and vitamins, in bulk."
4,Detail,2731111,"Medicinal chemicals and vitamins, in bulk","Medicinal chemicals and vitamins, in bulk."
3,Subclass,273112,"Pharmaceutical preparations, for the human central nervous system and the sense organs",This subclass comprises pharmaceutical preparations for the human central nervous system and the sense organs.
4,Detail,2731121,"Pharmaceutical preparations, for the human central nervous system and the sense organs",Pharmaceutical preparations for the human central nervous system and the sense organs.
3,Subclass,273113,"Pharmaceutical preparations, for the human cardiovascular and respiratory systems",This subclass comprises pharmaceutical preparations for the human cardiovascular and respiratory systems.
4,Detail,2731131,"Pharmaceutical preparations, for the human cardiovascular system","Pharmaceutical preparations, acting on the cardiovascular system, for human use, in dosage or prepared for retail sale."
4,Detail,2731132,"Pharmaceutical preparations, for the human respiratory system","Pharmaceutical preparations, acting on the respiratory system, for human use, in dosage or prepared for retail sale."
3,Subclass,273114,"Pharmaceutical preparations, for the human digestive and genito-urinary systems",This subclass comprises pharmaceutical preparations for the human digestive and genito-urinary systems.
4,Detail,2731141,"Pharmaceutical preparations, for the human digestive and genito-urinary systems",Pharmaceutical preparations for the human digestive or the genito-urinary systems.
3,Subclass,273115,"Pharmaceutical preparations affecting the human endocrine system, tumors and metabolic diseases","This subclass comprises pharmaceutical preparations acting on the human endocrine system, tumors and metabolic diseases."
4,Detail,2731151,"Pharmaceutical preparations affecting the human endocrine system, tumors and metabolic diseases","Pharmaceutical preparations acting on the human endocrine system, tumors and metabolic diseases."
3,Subclass,273116,Pharmaceutical preparations affecting parasitic and infective diseases in human,This subclass comprises pharmaceutical preparations affecting parasitic and infective diseases in human.
4,Detail,2731161,Pharmaceutical preparations affecting parasitic and infective diseases in human,Pharmaceutical preparations affecting parasitic and infective diseases in human.
3,Subclass,273117,Other pharmaceutical preparations for human use,This subclass comprises other pharmaceutical preparations for human use.
4,Detail,2731171,"Pharmaceutical preparations, acting on the skin, for human use","Pharmaceutical preparations, acting on the skin, for human use, in dosage or prepared for retail sale."
4,Detail,2731172,"Vitamin, nutrient, and hematinic preparations, for human use","Vitamin, mineral supplement, nutrient, and hematinic preparations, for human use."
3,Subclass,273118,Veterinary pharmaceutical preparations,This subclass comprises pharmaceutical preparations for veterinary use.
4,Detail,2731181,Veterinary pharmaceutical preparations,Pharmaceutical preparations for veterinary use.
3,Subclass,273119,"Diagnostic substances, blood derivatives, and other biological products","This subclass comprises diagnostic substances, blood derivatives and other biological products."
4,Detail,2731191,In-vivo and in-vitro diagnostic substances,In-vivo and in-vitro diagnostic substances and reagents.
4,Detail,2731192,"Blood and blood derivatives, vaccines, toxoids, and other biologics, for human use","Blood and blood derivatives, vaccines, toxoids, and other biologics, for human use."
4,Detail,2731193,"Other biological products (except diagnostic) for veterinary, industrial, and other uses","Other biological products, except diagnostic, for veterinary, industrial and other uses."
1,Group,274,Cleaning products and toiletries,This group comprises cleaning products and toiletries.
2,Class,27411,Soaps and cleaning compounds,This class comprises soaps and cleaning compounds.
3,Subclass,274111,"Household laundry soaps, detergents and bleaches","This subclass comprises household laundry soaps, detergents and bleaches."
4,Detail,2741111,"Household laundry soaps, detergents and bleaches","Household laundry soaps, detergents and bleaches."
3,Subclass,274112,Specialty cleaners and polishes,This subclass comprises specialty cleaners and polishes.
4,Detail,2741121,Specialty cleaners and polishes,Specialty cleaners and polishes.
3,Subclass,274113,"Commercial, industrial, and institutional cleaning products","This subclass comprises commercial, industrial, and institutional cleaning products."
4,Detail,2741131,"Commercial, industrial, and institutional cleaning products","Commercial, industrial, and institutional cleaning products."
3,Subclass,274114,"Surfactants, finishing agents and assistants","This subclass comprises surfactants, finishing agents and assistants."
4,Detail,2741141,"Surfactants, finishing agents and assistants","Surfactants, finishing agents and assistants."
3,Subclass,274115,"Bath, facial, and hand soaps","This subclass comprises bath, facial, and hand soaps."
4,Detail,2741151,"Bath, facial, and hand soaps","Bath, facial, and hand soaps."
3,Subclass,274116,Oral hygiene products,This subclass comprises oral hygiene products.
4,Detail,2741161,Oral hygiene products,Oral hygiene products.
2,Class,27412,Perfumes and toiletries,This class comprises perfumes and toiletries.
3,Subclass,274121,Hair care products,This subclass comprises hair care products.
4,Detail,2741211,Hair care products,Hair care products.
3,Subclass,274122,"Personal creams, lotions and oils","This subclass comprises personal creams, lotions and oils."
4,Detail,2741221,"Personal creams, lotions and oils","Personal creams, lotions and oils."
3,Subclass,274123,Perfumes and colognes,This subclass comprises perfumes and colognes.
4,Detail,2741231,Perfumes and colognes,Perfumes and colognes.
3,Subclass,274124,"Cosmetics and toiletries, n.e.c.","This subclass comprises cosmetics and toiletries, n.e.c."
4,Detail,2741241,"Cosmetics and toiletries, n.e.c.","Cosmetics and toiletries, n.e.c."
1,Group,281,Plastic resins,This group comprises plastic resins.
2,Class,28111,Plastic resins,This class comprises plastic resins.
3,Subclass,281111,Polyester resins,This subclass comprises polyester resins.
4,Detail,2811111,Polyester resins,Polyester resins.
3,Subclass,281112,Polyethylene resins,This subclass comprises polyethylene resins.
4,Detail,2811121,Polyethylene resins,Polyethylene resins.
3,Subclass,281113,Polystyrene resins,This subclass comprises polystyrene resins.
4,Detail,2811131,Polystyrene resins,Polystyrene resins.
3,Subclass,281114,Other thermoplastic resins,This subclass comprises other thermoplastic resins.
4,Detail,2811141,Other thermoplastic resins,Other thermoplastic resins.
3,Subclass,281115,Phenol-formaldehyde resins,This subclass comprises phenol-formaldehyde resins.
4,Detail,2811151,Phenol-formaldehyde resins,Phenol-formaldehyde resins.
3,Subclass,281116,Other thermosetting resins,This subclass comprises other thermosetting resins.
4,Detail,2811161,Other thermosetting resins,Other thermosetting resins.
1,Group,282,Plastic and rubber basic products not for packaging use (except plastic resins),"This group comprises basic plastic and rubber products not for packaging use, except plastic resins."
2,Class,28211,Rubber and rubber compounds and mixtures,This class comprises rubber and rubber compounds and mixtures.
3,Subclass,282111,Natural rubber,This subclass comprises natural rubber.
4,Detail,2821111,Natural rubber,Natural rubber.
3,Subclass,282112,Synthetic rubber,This subclass comprises synthetic rubber (vulcanizable elastomers).
4,Detail,2821121,Synthetic rubber,Synthetic rubber (vulcanizable elastomers).
3,Subclass,282113,Rubber compounds and mixtures,This subclass comprises compounds or mixtures of vulcanized rubber.
4,Detail,2821131,Rubber compounds and mixtures,Compounds and mixtures of vulcanized rubber.
2,Class,28221,Artificial and synthetic fibres and filaments,This class comprises artificial and synthetic fibres and filaments.
3,Subclass,282211,Artificial and synthetic staple fibres,"This subclass comprises synthetic (non-cellulosic) and artificial (cellulosic) staple fibres, other than nylon and other polyamides, including tow and waste."
4,Detail,2822111,Artificial and synthetic staple fibres,"Synthetic (non-cellulosic) and artificial (cellulosic) staple fibres, other than nylon and other polyamides, including tow and waste."
3,Subclass,282212,Artificial and synthetic filament yarns,"This subclass comprises artificial (cellulosic) and synthetic (non-cellulosic) filament yarns, except stretch and textured. Monofilaments are included."
4,Detail,2822121,Artificial and synthetic filament yarns,"Artificial (cellulosic) and synthetic (non-cellulosic) filament yarns, except stretch and textured. Monofilaments are included."
2,Class,28231,Plastic film and non-rigid sheets not for packaging use,"This class comprises plastic film and non-rigid sheets, not for packaging use."
3,Subclass,282311,"Plastic film and sheets not for packaging use, of polyethylene only","This subclass comprises polyethylene plastic film and sheets only, not for packaging use."
4,Detail,2823111,"Plastic film and sheets not for packaging use, of polyethylene only","Polyethylene plastic film and sheets only, not for packaging use."
3,Subclass,282312,Plastic film and sheets not for packaging use (except polyethylene),"This subclass comprises plastic film and sheets, except polyethylene film and sheets, not for packaging use."
4,Detail,2823121,Plastic film and sheets not for packaging use (except polyethylene),"Plastic film and sheets, except polyethylene film and sheets, not for packaging use."
2,Class,28232,Plastic profile shapes,This class comprises plastic profile shapes.
3,Subclass,282321,Laminated plastic profile shapes,This subclass comprises laminated plastic profile shapes.
4,Detail,2823211,Laminated plastic profile shapes,Laminated plastic profile shapes.
3,Subclass,282322,Unlaminated plastic profile shapes,This subclass comprises unlaminated plastic profile shapes.
4,Detail,2823221,Unlaminated plastic profile shapes,Unlaminated plastic profile shapes.
1,Group,283,Tires,This group comprises tires.
2,Class,28311,Tires,This class comprises tires.
3,Subclass,283111,Pneumatic tires for passenger cars and similar vehicles,This subclass comprises pneumatic tires for passenger cars and similar vehicles.
4,Detail,2831111,Pneumatic tires for passenger cars and similar vehicles,Pneumatic tires for passenger cars and similar vehicles.
3,Subclass,283112,Pneumatic tires for buses and trucks,"This subclass comprises pneumatic tires for buses and, heavy and light trucks."
4,Detail,2831121,Pneumatic tires for buses and trucks,"Pneumatic tires for buses and, heavy and light trucks."
3,Subclass,283113,"Other pneumatic, semi-pneumatic and solid rubber tires, and retreaded tires and tire repair materials","This subclass comprises other pneumatic, semi-pneumatic and solid rubber tires, retreaded tires and tire repair materials."
4,Detail,2831131,"Pneumatic, semi-pneumatic and solid rubber tires, n.e.c.","Pneumatic, semi-pneumatic and solid rubber tires, n.e.c."
4,Detail,2831132,"Inner tubes, tread rubber, tire sundries and repair materials","Inner tubes, tread rubber, tire sundries and repair materials."
4,Detail,2831133,Rebuilt or retreaded tires,Rebuilt or retreaded tires.
1,Group,284,Plastic and rubber finished products,This group comprises plastic and rubber finished products.
2,Class,28411,Rubber and plastic hoses and belts,This class comprises rubber and plastic hoses and belts.
3,Subclass,284111,Rubber and plastic transmission belts and belting,This subclass comprises rubber and plastic transmission belts and belting.
4,Detail,2841111,Rubber and plastic transmission belts and belting,Rubber and plastic transmission belts and belting.
3,Subclass,284112,"Rubber and flexible plastic pipes, tubes and hoses","This subclass comprises rubber and flexible plastic pipes, tubes and hoses."
4,Detail,2841121,"Hoses, tubes and pipes of rubber, plastic, nylon and other materials, for use in on- and off-highway motor vehicles","Hoses, tubes and pipes of rubber, plastic, nylon and other materials, for use in on- and off-highway motor vehicles."
4,Detail,2841122,"Hoses, tubes and pipes of rubber, plastic, nylon and other materials, for other uses","Hoses, tubes and pipes of rubber, plastic, nylon and other materials, for other uses."
2,Class,28412,"Plastic products (except for packaging and construction), n.e.c.","This class comprises plastic products, except for packaging and construction, n.e.c."
3,Subclass,284121,"Plastic dinnerware, tableware, kitchenware and ovenware (including microwave-ware)","This subclass comprises plastic dinnerware, tableware, kitchenware and ovenware, including microwave-ware."
4,Detail,2841211,"Plastic dinnerware, tableware, kitchenware and ovenware (including microwave-ware)","Plastic dinnerware, tableware, kitchenware and ovenware, including microwave-ware."
3,Subclass,284122,"Other consumer, institutional and commercial plastic products","This subclass comprises other consumer, institutional and commercial plastic products."
4,Detail,2841221,"Other consumer, institutional and commercial plastic products","Other consumer, institutional and commercial plastic products."
3,Subclass,284123,"Plastic parts and components, n.e.c.","This subclass comprises plastic parts and components, n.e.c."
4,Detail,2841231,Reinforced plastic and fibreglass parts and components (except for motor vehicles),"Reinforced plastic and fibreglass parts and components, except for motor vehicles."
4,Detail,2841232,"Fabricated plastic parts for other transportation equipment, n.e.c.","Fabricated plastic parts for other transportation equipment, n.e.c."
4,Detail,2841233,Plastic shapes for furniture and furnishings (except foam and reinforced plastics),"Plastic shapes for furniture and furnishings, except foam and reinforced plastics."
4,Detail,2841234,"Fabricated plastic products for electrical, electronic or industrial machinery use (except foam and reinforced plastics)","Fabricated plastic products for electrical, electronic or industrial machinery use, except foam and reinforced plastics."
2,Class,28413,"Rubber products, n.e.c.","This class comprises rubber products, n.e.c."
3,Subclass,284131,"Rubber sponge, expanded rubber and foam rubber products","This subclass comprises rubber sponge, expanded rubber and foam rubber products."
4,Detail,2841311,"Rubber sponge, expanded rubber and foam rubber products","Rubber sponge, expanded rubber and foam rubber products."
3,Subclass,284132,Rubber mechanical goods,This subclass comprises rubber mechanical goods.
4,Detail,2841321,Rubber mechanical goods,Rubber mechanical goods.
3,Subclass,284133,"Other rubber products, n.e.c.","This subclass comprises other rubber products, n.e.c."
4,Detail,2841331,"Rubber products for industrial use, n.e.c.","Rubber products for industrial use, n.e.c."
4,Detail,2841332,Rubber membrane roofing,Rubber membrane roofing.
4,Detail,2841333,"Condoms and rubber health products, n.e.c.","Condoms and rubber health products, n.e.c."
4,Detail,2841334,"Other miscellaneous rubber products (except rubber boats), n.e.c.","Other miscellaneous rubber products, except rubber boats, n.e.c."
2,Class,28414,"Foam products (except for packaging and construction), n.e.c.","This class comprises foam products, except for packaging and construction, n.e.c."
3,Subclass,284141,"Plastic foam shapes of polystyrene or polyurethane, for transportation","This subclass comprises plastic foam shapes of polystyrene or polyurethane, for transportation."
4,Detail,2841411,"Plastic foam shapes of polystyrene or polyurethane, for motor vehicles","Plastic foam shapes of polystyrene or polyurethane, for motor vehicles."
4,Detail,2841412,"Plastic foam shapes of polystyrene or polyurethane, for other transportation equipment","Plastic foam shapes of polystyrene or polyurethane, for other transportation equipment."
3,Subclass,284142,"Plastic foam shapes of polystyrene or polyurethane, for furniture and other products n.e.c.",This subclass comprises plastic foam shapes of polystyrene or polyurethane for furniture and other products n.e.c.
4,Detail,2841421,"Plastic foam shapes of polystyrene or polyurethane, for furniture","Plastic foam shapes of polystyrene or polyurethane, for furniture."
4,Detail,2841422,"Plastic foam shapes of polystyrene or polyurethane, for other products n.e.c.","Plastic foam shapes of polystyrene or polyurethane, for other products n.e.c."
3,Subclass,284143,Consumer and commercial foam products of polystyrene or polyurethane (including dinnerware and tableware),"This subclass comprises consumer and commercial foam products of polystyrene or polyurethane, including dinnerware and tableware."
4,Detail,2841431,Consumer and commercial foam products of polystyrene or polyurethane (including dinnerware and tableware),"Consumer and commercial foam products of polystyrene or polyurethane, including dinnerware and tableware."
3,Subclass,284144,Other foam products,This subclass comprises other foam products.
4,Detail,2841441,Plastic foam shapes for motor vehicles (except polystyrene and polyurethane),"Plastic foam shapes for motor vehicles, except polystyrene and polyurethane."
4,Detail,2841442,"Plastic foam shapes for other transportation equipment, n.e.c. (except polystyrene and polyurethane)","Plastic foam shapes for other transportation equipment, n.e.c., except polystyrene and polyurethane."
4,Detail,2841443,Plastic foam shapes for furniture and furnishings (except polystyrene and polyurethane),"Plastic foam shapes for furniture and furnishings, except polystyrene and polyurethane."
4,Detail,2841444,Consumer and commercial foam products including dinnerware and tableware (except polystyrene or polyurethane),"Consumer and commercial foam products including dinnerware and tableware, except polystyrene or polyurethane."
4,Detail,2841445,"Plastic foam shapes for other products, n.e.c. (except polystyrene and polyurethane)","Plastic foam shapes for other products, n.e.c., except polystyrene and polyurethane."
1,Group,291,Non-metallic mineral products,This group comprises non-metallic mineral products.
2,Class,29111,Clay and ceramic products and refractories,This class comprises clay and ceramic products as well as refractories.
3,Subclass,291111,Refractories,This subclass comprises refractories.
4,Detail,2911111,Clay refractories,Clay refractories.
4,Detail,2911112,Non-clay refractories,Non-clay refractories.
3,Subclass,291112,"Ceramic tile, and other structural and architectural ceramic products","This subclass comprises ceramic tile, clay building bricks, and other structural and architectural ceramic products."
4,Detail,2911121,Ceramic floor and wall tile (including quarry tile),"Ceramic floor and wall tiles, including quarry tile."
4,Detail,2911122,"Building bricks, clay roofing tiles, clay sewer pipes and other structural and architectural ceramic products","Building bricks, clay roofing tiles, clay sewer pipes and other structural and architectural ceramic products."
3,Subclass,291113,"Vitreous enamelled sanitary ware, and vitreous, semi-vitreous and earthenware products n.e.c.","This subclass comprises vitreous enamelled sanitary ware, and vitreous, semi-vitreous and earthenware products n.e.c."
4,Detail,2911131,Vitreous plumbing fixtures,Plumbing fixtures made of vitreous china.
4,Detail,2911132,Vitreous and semi-vitreous table and kitchenware products,Ceramic tableware and kitchenware products.
4,Detail,2911133,Vitreous china and fine earthenware products,Vitreous china and fine earthenware products.
4,Detail,2911134,Ceramic decorative articles,Ceramic decorative articles.
4,Detail,2911135,"Electrical, laboratory and industrial products of porcelain, steatite and other ceramics","Electrical, laboratory and industrial products of ceramics."
2,Class,29112,Concrete products,This class comprises concrete products.
3,Subclass,291121,Concrete blocks and bricks,This subclass comprises concrete blocks and bricks.
4,Detail,2911211,Concrete decorative blocks and bricks,Concrete decorative blocks and bricks.
4,Detail,2911212,Concrete structural blocks and bricks,Concrete structural blocks and bricks.
3,Subclass,291122,Concrete pipes and fittings,This subclass comprises concrete pipes and fittings.
4,Detail,2911221,Concrete pipes and fittings,Concrete pipes and fittings.
3,Subclass,291123,Other precast and prestressed concrete products,This subclass comprises other precast and prestressed concrete products.
4,Detail,2911231,"Precast concrete products, n.e.c.","Precast concrete products, n.e.c."
4,Detail,2911232,"Prestressed concrete products, n.e.c.","Prestressed concrete products, n.e.c."
2,Class,29113,Glass and glass products (except automotive glass and automotive mirrors),"This class comprises glass and glass products, except automotive glass and automotive mirrors."
3,Subclass,291131,Flat glass (except automotive),"This subclass comprises flat glass, except automotive."
4,Detail,2911311,Flat glass (except automotive),"Flat glass, except automotive."
3,Subclass,291132,Laminated and tempered glass (except automotive),"This subclass comprises laminated and tempered glass, except automotive."
4,Detail,2911321,Laminated glass (except automotive),"Laminated glass, except automotive."
4,Detail,2911322,Tempered glass (except automotive),"Tempered glass, except automotive."
3,Subclass,291133,Textile-type glass fibre,This subclass comprises textile-type glass fibre.
4,Detail,2911331,Textile-type glass fibre,Textile-type glass fibre.
3,Subclass,291134,Multiple-walled insulating units of glass,This subclass comprises multiple-walled insulating units of glass.
4,Detail,2911341,Multiple-walled insulating units of glass,Multiple-walled insulating units of glass.
3,Subclass,291135,"Glass products, n.e.c.","This subclass comprises glass products, n.e.c."
4,Detail,2911351,"Machine-made pressed and blown table, kitchen, and decorative glassware","Machine-made pressed and blown table, kitchen, and decorative glassware."
4,Detail,2911352,"Machine-made pressed and blown glassware for lighting, laboratory, and industrial applications","Machine-made pressed and blown glassware for lighting, laboratory, and industrial applications."
4,Detail,2911353,Hand-made pressed and blown glassware,Hand-made pressed and blown glassware.
4,Detail,2911354,Glass mirrors (except automotive),"Glass mirrors, except automotive."
4,Detail,2911355,"Other glass products, n.e.c.","Other glass products, n.e.c."
2,Class,29114,"Non-metallic mineral products, n.e.c.","This class comprises non-metallic mineral products, n.e.c."
3,Subclass,291141,Dressed dimension stone,This subclass comprises dressed dimension stone.
4,Detail,2911411,Dressed dimension granite,Dressed dimension granite.
4,Detail,2911412,Dressed dimension limestone,Dressed dimension limestone.
4,Detail,2911413,"Dressed dimension marble, slate, sandstone, and other stone n.e.c.","Dressed dimension marble, slate, sandstone, and other stone n.e.c."
3,Subclass,291142,Mineral wool,This subclass comprises mineral wool.
4,Detail,2911421,"Mineral wool for thermal and acoustical envelope insulation, for buildings","Mineral wool for thermal and acoustical envelope insulation, for buildings."
4,Detail,2911422,"Mineral wool for industrial, equipment and appliance insulation","Mineral wool for industrial, equipment and appliance insulation."
3,Subclass,291143,Abrasives and abrasive products,This subclass comprises abrasives and abrasive products.
4,Detail,2911431,"Abrasive grain, powder and flour","Abrasive grain, powder and flour."
4,Detail,2911432,Abrasive products,Abrasive products.
3,Subclass,291144,Other non-metallic mineral products,This subclass comprises other non-metallic mineral products.
4,Detail,2911441,Treated minerals and earths,Treated minerals and earths.
4,Detail,2911442,"Other non-metallic mineral products, n.e.c.","Other non-metallic mineral products, n.e.c."
1,Group,311,"Unwrought iron, steel and ferro-alloys","This group comprises unwrought iron, steel and ferro-alloys."
2,Class,31111,"Unwrought iron, steel and ferro-alloys","This class comprises unwrought iron, steel and ferro-alloys."
3,Subclass,311111,Unwrought iron and steel,This subclass comprises unwrought iron and steel.
4,Detail,3111111,"Pig iron, iron ore sinter and pellets","Pig iron, iron ore sinter and pellets."
4,Detail,3111112,Iron and steel ingots and primary forms,Iron and steel ingots and primary forms.
3,Subclass,311112,Unwrought ferro-alloys,This subclass comprises unwrought ferro-alloys.
4,Detail,3111121,Unwrought ferro-alloys,Unwrought ferro-alloys.
1,Group,312,Basic and semi-finished iron and steel products,This group comprises basic and semi-finished iron and steel products.
2,Class,31211,Hot-rolled iron and steel products,This class comprises hot-rolled iron and steel products.
3,Subclass,312111,"Hot-rolled sheets and strips, of iron or non-alloy steel",This subclass comprises hot-rolled iron and non-alloy steel sheets and strips that are generally flat rather than long.
4,Detail,3121111,"Hot-rolled sheets and strips, of iron or non-alloy steel",Hot-rolled iron and non-alloy steel sheets and strips that are generally flat rather than long.
3,Subclass,312112,"Hot-rolled sheets and strips, of alloy steel",This subclass comprises hot-rolled alloy steel sheets and strips that are generally flat rather than long.
4,Detail,3121121,"Hot-rolled sheets and strips, of alloy steel",Hot-rolled alloy steel sheets and strips that are generally flat rather than long.
3,Subclass,312113,"Hot-rolled bars and bar shapes, of iron or non-alloy steel (except concrete reinforcing bars)","This subclass comprises hot-rolled iron and non-alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
4,Detail,3121131,"Hot-rolled bars and bar shapes, of iron or non-alloy steel (except concrete reinforcing bars)","Hot-rolled iron and non-alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
3,Subclass,312114,"Hot-rolled bars and bar shapes, of alloy steel (except concrete reinforcing bars)","This subclass comprises hot-rolled alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
4,Detail,3121141,"Hot-rolled bars and bar shapes, of alloy steel (except concrete reinforcing bars)","Hot-rolled alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
3,Subclass,312115,"Other hot-rolled iron, steel or alloy steel structural shapes","This subclass comprises other hot-rolled iron, steel or alloy steel structural shapes."
4,Detail,3121151,"Other hot-rolled iron, steel or alloy steel structural shapes","Other hot-rolled iron, steel or alloy steel structural shapes."
3,Subclass,312116,"Iron, steel or alloy steel rails and railway track material","This subclass comprises iron, steel or alloy steel rails and railway track material."
4,Detail,3121161,"Iron, steel or alloy steel rails and railway track material","Iron, steel or alloy steel rails and railway track material."
2,Class,31212,Cold-rolled iron and steel products,"This class comprises cold-rolled iron and steel products, and iron and steel powder, paste and flakes."
3,Subclass,312121,"Cold-rolled sheets and strips, of iron or non-alloy steel",This subclass comprises cold-rolled iron and non-alloy steel sheets and strips that are generally flat rather than long.
4,Detail,3121211,"Cold-rolled sheets and strips, of iron or non-alloy steel",Cold-rolled iron and non-alloy steel sheets and strips that are generally flat rather than long.
3,Subclass,312122,"Cold-rolled sheets and strips, of alloy steel",This subclass comprises cold-rolled alloy steel sheets and strips that are generally flat rather than long.
4,Detail,3121221,"Cold-rolled sheets and strips, of alloy steel",Cold-rolled alloy steel sheets and strips that are generally flat rather than long.
3,Subclass,312123,"Cold-finished bars and bar shapes, of iron or non-alloy steel (except concrete reinforcing bars)","This subclass comprises cold-finished iron and non-alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
4,Detail,3121231,"Cold-finished bars and bar shapes, of iron or non-alloy steel (except concrete reinforcing bars)","Cold-finished iron and non-alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
3,Subclass,312124,"Cold-finished bars and bar shapes, of alloy steel (except concrete reinforcing bars)","This subclass comprises cold-finished alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
4,Detail,3121241,"Cold-finished bars and bar shapes, of alloy steel (except concrete reinforcing bars)","Cold-finished alloy steel bars and bar shapes, except concrete reinforcing bars, that are generally long rather than flat."
3,Subclass,312125,Iron and steel wire,"This subclass comprises thread or slender rods made of iron or steel. They may be uncoated or coated, but not insulated."
4,Detail,3121251,Iron and steel wire,"Thread or slender rods made of iron or steel. They may be uncoated or coated, but not insulated."
3,Subclass,312126,"Iron and steel powder, paste and flakes","This subclass comprises iron and steel powder, paste and flakes used as an input to powder metallurgy."
4,Detail,3121261,"Iron and steel powder, paste and flakes","Iron and steel powder, paste and flakes used as an input to powder metallurgy."
2,Class,31213,Ferrous metal castings,This class comprises ferrous metal castings.
3,Subclass,312131,Pipes and fittings of ductile iron and cast iron,This subclass comprises pipes and fittings of ductile iron and cast iron.
4,Detail,3121311,Pipes and fittings of ductile iron and cast iron,Pipes and fittings of ductile iron and cast iron.
3,Subclass,312132,Grey iron products (except pipes and fittings),"This subclass comprises grey iron products, except pipes and fittings."
4,Detail,3121321,Grey iron products (except pipes and fittings),"Grey iron products, except pipes and fittings."
3,Subclass,312133,Other iron castings,This subclass comprises other iron castings.
4,Detail,3121331,Other iron castings,Other iron castings.
3,Subclass,312134,Steel castings,This subclass comprises steel castings.
4,Detail,3121341,Steel investment castings,Steel parts formed by investment castings.
4,Detail,3121342,Carbon steel castings (except investment),"Parts of cast carbon steel, not formed by investment castings."
4,Detail,3121343,Alloy steel castings (except investment),"Parts of cast alloy steel, not formed by investment castings."
2,Class,31214,Iron and steel pipes and tubes (except castings),"This class comprises iron and steel pipes and tubes, except castings."
