Level,Hierarchical structure,Code,Class title,Class definition
3,Subclass,114221,Fresh vegetables (except potatoes and pulse crops),"This subclass comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops."
4,Detail,1142211,Fresh root type vegetables,Fresh root type vegetables.
4,Detail,1142212,Fresh bulb type vegetables,Fresh bulb type vegetables.
4,Detail,1142213,Fresh leaf and stem type vegetables,Fresh leaf and stem type vegetables.
4,Detail,1142214,Fresh melons,Fresh melons.
4,Detail,1142215,Fresh fruit type vegetables (except melons),"Fresh fruit type vegetables, except melons."
4,Detail,1142216,Green leguminous vegetables,"Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption."
4,Detail,1142217,Fresh mushrooms (including truffles),Fresh mushrooms and truffles.
4,Detail,1142218,"Other fresh vegetables, n.e.c.","Other fresh vegetables, n.e.c., including sweet corn."
2,Class,11431,Pulse crops (except soybeans),"This class comprises pulse crops, which are dry annual leguminous plants or edible seeds, harvested from pods, and primarily for the use in food processing, as both human food and animal feed."
3,Subclass,114311,Chickpeas,This subclass comprises chickpeas.
4,Detail,1143111,"Chickpeas, Desi","Chickpeas, Desi."
4,Detail,1143112,"Chickpeas, Kabuli","Chickpeas, Kabuli."
4,Detail,1143113,Other chickpeas,Other chickpeas.
3,Subclass,114312,Lentils,This subclass comprises lentils.
4,Detail,1143121,Large green lentils,Large green lentils.
4,Detail,1143122,Red lentils,Red lentils.
4,Detail,1143123,Small green lentils,Small green lentils.
4,Detail,1143124,Other lentils,Other lentils.
3,Subclass,114313,Dry beans,This subclass comprises dry beans.
4,Detail,1143131,Dry white beans,Dry white beans.
4,Detail,1143132,Dry coloured beans,Dry coloured beans.
3,Subclass,114314,Dry peas,This subclass comprises dry peas.
4,Detail,1143141,Yellow dry peas,Yellow dry peas.
4,Detail,1143142,Green dry peas,Green dry peas.
4,Detail,1143143,Other dry peas,Other dry peas.
1,Group,115,Other crop products,This group comprises crop products n.e.c.
2,Class,11511,Grains (except wheat),"This class comprises cereal type grains, except wheat, unmilled."
3,Subclass,115111,Grain corn,This subclass comprises unmilled grain corn.
4,Detail,1151111,Grain corn,Unmilled grain corn.
3,Subclass,115112,Unmilled rice,This subclass comprises unmilled rice.
4,Detail,1151121,Unmilled rice,Unmilled rice.
3,Subclass,115113,Oats,"This subclass comprises unmilled oats, hulless and unhulled."
4,Detail,1151131,Oats,"Unmilled oats, hulless and unhulled."
3,Subclass,115114,Barley,"This subclass comprises unmilled barley, hulless and unhulled."
4,Detail,1151141,Barley,"Unmilled barley, hulless and unhulled."
3,Subclass,115115,"Other grains, n.e.c.",This subclass comprises unmilled grains n.e.c.
4,Detail,1151151,Mixed cereal grain,Unmilled mixed cereal grain.
4,Detail,1151152,Rye,Unmilled rye.
4,Detail,1151153,Triticale,Unmilled triticale.
4,Detail,1151154,Wild rice,Unmilled wild rice.
4,Detail,1151155,Other miscellaneous grains,Other miscellaneous unmilled grains.
2,Class,11512,Oilseeds (except canola),"This class comprises oilseeds, except canola."
3,Subclass,115121,Soybeans,This subclass comprises unprocessed soybeans.
4,Detail,1151211,Soybeans,Unprocessed soybeans.
3,Subclass,115122,Oilseeds (except canola and soybeans),"This subclass comprises oilseeds, except canola and soybeans."
4,Detail,1151221,Flaxseed,Unprocessed flaxseed.
4,Detail,1151222,Solin,Unprocessed solin.
4,Detail,1151223,Sunflower seeds,Unprocessed sunflower seeds.
4,Detail,1151224,Other oilseeds,Other unprocessed oilseeds.
2,Class,11513,Other miscellaneous crop products,This class comprises other miscellaneous crop products.
3,Subclass,115131,Unstemmed leaf tobacco,This subclass comprises unstemmed leaf tobacco.
4,Detail,1151311,Unstemmed leaf tobacco,Unstemmed leaf tobacco.
3,Subclass,115132,Sugar cane and sugar beets,This subclass comprises sugar cane and sugar beets.
4,Detail,1151321,Sugar cane,Sugar cane.
4,Detail,1151322,Sugar beets,Sugar beets.
3,Subclass,115133,Raw tea,"This subclass comprises raw tea, except packaged and prepared."
4,Detail,1151331,Raw tea,"Raw tea, except packaged and prepared."
3,Subclass,115134,Cocoa beans,This subclass comprises cocoa beans.
4,Detail,1151341,Cocoa beans,Cocoa beans.
3,Subclass,115135,Green coffee beans,This subclass comprises green coffee beans.
4,Detail,1151351,Green coffee beans,Green coffee beans.
3,Subclass,115136,Maple syrup and other maple products,This subclass comprises maple syrup and other maple products.
4,Detail,1151361,Maple syrup,Maple syrup.
4,Detail,1151362,Other maple products,Other maple products.
3,Subclass,115137,Raw cotton,This subclass comprises raw cotton.
4,Detail,1151371,Raw cotton,Raw cotton.
3,Subclass,115138,Hay and forage,This subclass comprises hay and forage.
4,Detail,1151381,Tame hay and forage seeds,Tame hay and forage seeds.
4,Detail,1151382,Fodder corn,Fodder corn.
4,Detail,1151383,Unworked straw,Unworked straw.
3,Subclass,115139,"Other miscellaneous crop products, n.e.c.","This subclass comprises other miscellaneous crop products, n.e.c."
4,Detail,1151391,Hops,Hops.
4,Detail,1151392,Natural vegetable fibres,Natural vegetable fibres.
4,Detail,1151393,Medicinal plants,Medicinal plants.
4,Detail,1151394,Mustard seeds,Unprocessed mustard seeds.
4,Detail,1151395,Other spice seeds,Other spice seeds.
4,Detail,1151396,Vegetal gums,"Vegetal gums, resins, gum-resins and oleoresins."
4,Detail,1151397,Other crude vegetable materials,Other crude vegetable materials.
4,Detail,1151398,"Seeds for planting (except potato, flower, shrub and tree seeds)","Seeds for planting, except potato, flower, shrub and tree seeds."
2,Class,11514,Floriculture and nursery products,This class comprises natural floriculture and nursery products.
3,Subclass,115141,"Flower, shrub and tree seeds","This subclass comprises flower, shrub and tree seeds."
4,Detail,1151411,Flower seeds,Flower seeds and dormant bulbs.
4,Detail,1151412,Shrub seeds,Shrub seeds.
4,Detail,1151413,Tree seeds,Tree seeds.
3,Subclass,115142,Christmas trees,This subclass comprises natural Christmas trees.
4,Detail,1151421,Christmas trees,Natural Christmas trees.
3,Subclass,115143,Floriculture products (except flower seeds),"This subclass comprises natural floriculture products, except flower seeds."
4,Detail,1151431,Indoor potted plants,Indoor potted plants.
4,Detail,1151432,Outdoor potted plants,Outdoor potted plants.
4,Detail,1151433,Cuttings,Cuttings.
4,Detail,1151434,Bedding plants,Bedding plants.
4,Detail,1151435,Cut flowers,Cut flowers.
3,Subclass,115144,Nursery products (except tree and shrub seeds),"This subclass comprises natural trees, shrubs and their seedlings, except tree and shrub seeds."
4,Detail,1151441,Nursery products (except tree and shrub seeds),"Trees, shrubs and their seedlings, natural, except tree and shrub seeds."
3,Subclass,115145,Sod,"This subclass comprises sod, natural."
4,Detail,1151451,Sod,"Sod, natural."
1,Group,116,Other animal products,This group comprises animal products n.e.c.
2,Class,11611,Eggs in shell,This class comprises eggs in shell for consumption and for hatcheries.
3,Subclass,116111,Eggs in shell,This subclass comprises eggs in shell for consumption and for hatcheries.
4,Detail,1161111,Eggs in shell for consumption,Eggs in shell for consumption.
4,Detail,1161112,Eggs in shell for hatcheries,Fertilized eggs in shell for hatcheries.
2,Class,11612,Unprocessed fluid milk,This class comprises unprocessed fluid milk.
3,Subclass,116121,Unprocessed fluid milk,This subclass comprises unprocessed fluid milk.
4,Detail,1161211,Unprocessed fluid milk,Unprocessed fluid milk.
2,Class,11613,"Raw furskins, and animal products n.e.c.",This class comprises raw furskins; raw wool and animal hair; natural honey; and pregnant mare urine.
3,Subclass,116131,Raw furskins,This subclass comprises raw furskins.
4,Detail,1161311,Raw furskins,Raw furskins.
3,Subclass,116132,Raw wool and animal hair,This subclass comprises raw wool and raw animal hair.
4,Detail,1161321,Raw wool,"Raw wool, not carded nor combed."
4,Detail,1161322,Raw animal hair,"Raw animal hair, not carded nor combed."
3,Subclass,116133,Natural honey,This subclass comprises natural unpasteurized honey and bee-collected pollen.
4,Detail,1161331,Natural honey,Natural unpasteurized honey and bee-collected pollen.
3,Subclass,116134,Pregnant mare urine,This subclass comprises pregnant mare urine.
4,Detail,1161341,Pregnant mare urine,Pregnant mare urine.
1,Group,121,"Fish, crustaceans, shellfish and other fishery products","This group comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed."
2,Class,12111,"Fish, crustaceans, shellfish and other fishery products","This class comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed."
3,Subclass,121111,"Live fish, crustaceans and shellfish","This subclass comprises live fish, crustaceans and shellfish."
4,Detail,1211111,Live fish,Live fish.
4,Detail,1211112,Live roe,Live roe.
4,Detail,1211113,Live crustaceans,Live crustaceans.
4,Detail,1211114,Live shellfish,Live shellfish.
3,Subclass,121112,Fish (except live),"This subclass comprises whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed."
4,Detail,1211121,Fish (except live),"Whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed."
3,Subclass,121113,Crustaceans and shellfish (except live),"This subclass comprises fresh, chilled and frozen unshelled crustaceans and shellfish, but not further processed."
4,Detail,1211131,Crustaceans (except live),"Fresh, chilled and frozen unshelled crustaceans, but not further processed."
4,Detail,1211132,Shellfish (except live),"Fresh, chilled and frozen unshelled shellfish, but not further processed."
3,Subclass,121114,"Seaweed, Irish moss and other algae","This subclass comprises seaweed, Irish moss and other algae."
4,Detail,1211141,Seaweed,Seaweed.
4,Detail,1211142,Irish moss,Irish moss.
4,Detail,1211143,Other algae,Other algae.
1,Group,131,"Logs, pulpwood and other forestry products","This group comprises wood logs, pulpwood and other forestry products."
2,Class,13111,Logs and bolts,This class comprises wood logs and bolts.
3,Subclass,131111,Hardwood logs and bolts (except fuel wood and pulpwood),"This subclass comprises hardwood logs and bolts, except fuel wood and pulpwood."
4,Detail,1311111,Hardwood logs and bolts (except fuel wood and pulpwood),"Hardwood logs and bolts, except fuel wood and pulpwood."
3,Subclass,131112,Softwood logs and bolts (except fuel wood and pulpwood),"This subclass comprises softwood logs and bolts, except fuel wood and pulpwood."
4,Detail,1311121,"Logs and bolts of spruce, pine and fir (except fuel wood and pulpwood)","Logs and bolts of spruce, pine and fir, except fuel wood and pulpwood."
4,Detail,1311122,Logs and bolts of hemlock fir (except fuel wood and pulpwood),"Logs and bolts of hemlock fir, except fuel wood and pulpwood."
4,Detail,1311123,Logs and bolts of Douglas fir and Western larch (except fuel wood and pulpwood),"Logs and bolts of Douglas fir and Western larch, except fuel wood and pulpwood."
4,Detail,1311124,Logs and bolts of Western red cedar (except fuel wood and pulpwood),"Logs and bolts of Western red cedar, except fuel wood and pulpwood."
4,Detail,1311125,Other logs and bolts of softwood (except fuel wood and pulpwood),"Other logs and bolts of softwood, except fuel wood and pulpwood."
2,Class,13112,Pulpwood,This class comprises pulpwood.
3,Subclass,131121,Hardwood pulpwood,This subclass comprises hardwood pulpwood.
4,Detail,1311211,Hardwood pulpwood,Hardwood pulpwood.
3,Subclass,131122,Softwood pulpwood,This subclass comprises softwood pulpwood.
4,Detail,1311221,Softwood pulpwood,Softwood pulpwood.
2,Class,13113,"Rough untreated poles, posts and piling","This class comprises rough untreated poles, posts and piling."
3,Subclass,131131,"Rough untreated poles, posts and piling","This subclass comprises rough untreated poles, posts and piling."
4,Detail,1311311,"Rough untreated poles, posts and piling of softwood","Rough untreated poles, posts and piling of softwood."
4,Detail,1311312,"Rough untreated poles, posts and piling of hardwood","Rough untreated poles, posts and piling of hardwood."
1,Group,141,Crude oil and bitumen,"This group comprises conventional crude oil, crude and diluted bitumen, and synthetic crude oil."
2,Class,14111,Conventional crude oil,This class comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.
3,Subclass,141111,Conventional crude oil,This subclass comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.
4,Detail,1411111,Light and medium crude oil,Light and medium crude oil with a density equal to or less than 875.7 kg/m³ (30.1° API).
4,Detail,1411112,Heavy crude oil,Heavy crude oil with a density greater than 875.7 kg/m³ (30.1° API).
2,Class,14112,Crude and diluted bitumen,This class comprises crude bitumen and bitumen mixed with diluents.
3,Subclass,141121,Crude and diluted bitumen,This subclass comprises crude bitumen and bitumen mixed with diluents.
4,Detail,1411211,Crude bitumen,Semi solid form of crude oil that does not flow unless it is heated or diluted with lighter hydrocarbons.
4,Detail,1411212,Diluted bitumen,Crude bitumen that has been diluted so that it can be transported by pipeline.
2,Class,14113,Synthetic crude oil,This class comprises intermediate product derived from the upgrading of crude bitumen into a transportable liquid form.
3,Subclass,141131,Synthetic crude oil,This subclass comprises intermediate product derived from the upgrading of crude bitumen into a transportable liquid form.
4,Detail,1411311,Synthetic crude oil,Intermediate product derived from the upgrading of crude bitumen into a transportable liquid form.
1,Group,142,Natural gas,"This group comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
2,Class,14211,Natural gas,"This class comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
3,Subclass,142111,Natural gas,"This subclass comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
4,Detail,1421111,Natural gas,"Natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane."
1,Group,143,Natural gas liquids (including condensate) and related products,"This group comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others."
2,Class,14311,Natural gas liquids (including condensate) and related products,"This class comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others."
3,Subclass,143111,Liquefied petroleum gases (LPGs),This subclass comprises liquefied petroleum gases (LPGs) consisting primarily of propane and butane.
